LandProvince;SeaZone;x;y;
villa_di_chiesa;teulada_cape;8074;5596;x
muravera;ferrato_cape;8129;5599;x
tortoli;ferrato_cape;8132;5625;x
terranova_pausania;gulf_olbia;8127;5704;x
orosei;gulf_orosei;8133;5659;x
posada;gulf_olbia;8134;5688;x
tempiopausania;strait_bonifacio;8104;5709;x
sassari;gulf_asinara;8075;5691;x
alghero;bay_alghero;8069;5672;x
bosa;gulf_oristano;8075;5650;x
castelsardo;gulf_asinara;8090;5697;x
messina;strait_messina;8401;5526;x
catania;gulf_catania;8379;5480;x
mistretta;gulf_termini;8350;5518;x
patti;eolie_islands;8367;5526;x
girgenti;gulf_gela;8308;5470;x
cefalu;gulf_termini;8333;5517;x
sciacca;granitola_cape;8289;5483;x
termini;gulf_termini;8317;5514;x
palermo;gulf_termini;8302;5522;x
mazara;granitola_cape;8265;5491;x
salemi;gulf_castellammare;8281;5518;x
trapani;egadi_islands;8259;5514;x
syracuse;gulf_catania;8384;5467;x
malta;george_bay;8344;5383;x
modica;strait_malta;8358;5438;x
noto;gulf_noto;8381;5444;x
terranovasic;gulf_gela;8336;5458;x
grosseto;gulf_talamone;8191;5807;x
pitigliano;gulf_talamone;8200;5796;x
piombino;gulf_talamone;8177;5823;x
lucca;riviera_levante;8157;5880;x
massa;riviera_levante;8156;5885;x
fosdinovo;riviera_levante;8149;5892;x
pisa;riviera_levante;8160;5867;x
livorno;corsica_channel;8168;5846;x
aquileia;gulf_venice;8299;6002;x
udine;gulf_venice;8292;6004;x
venice;gulf_venice;8252;5984;x
mestre;gulf_venice;8261;5991;x
chioggia;gulf_venice;8256;5957;x
cetatea_alba;dniester_estuary;9075;6016;x
chilia;north_danube_delta;9042;5986;x
sarata;north_danube_delta;9048;5996;x
dundaga;gulf_of_riga;8725;6809;x
durbe;coast_of_kurland;8665;6770;x
grobina;coast_of_memel;8646;6726;x
kandava;gulf_of_riga;8741;6796;x
ventspils;coast_of_kurland;8674;6796;x
tallinn;west_gulf_of_finland;8836;6945;x
narva;east_gulf_of_finland;8948;6939;x
padise;west_gulf_of_finland;8794;6934;x
toolse;west_gulf_of_finland;8896;6949;x
parnu;gulf_of_riga;8809;6862;x
saarde;gulf_of_riga;8804;6840;x
hapsal;north_central_baltic;8767;6907;x
kaina;north_central_baltic;8711;6898;x
kuressaare;coast_of_osel;8701;6847;x
lihula;north_central_baltic;8771;6892;x
st_martin;gulf_of_riga;8781;6859;x
valjala;north_central_baltic;8714;6880;x
tukums;gulf_of_riga;8756;6772;x
riga;gulf_of_riga;8781;6767;x
limbazi;gulf_of_riga;8801;6809;x
salaspils;gulf_of_riga;8790;6773;x
straupe;gulf_of_riga;8802;6783;x
gdansk;gulf_of_danzig;8552;6580;x
puck;gulf_of_danzig;8533;6600;x
memel;curonian_coast;8652;6670;x
konigsberg;vistula_lagoon;8617;6602;x
balga;vistula_lagoon;8599;6591;x
brandenburg_prussia;vistula_lagoon;8613;6597;x
fischhausen;gulf_of_danzig;8597;6618;x
elblag;vistula_lagoon;8575;6575;x
frombork;vistula_lagoon;8589;6584;x
palanga;coast_of_memel;8650;6699;x
sukhumi;sokhumi_bay;9559;5826;x
anacopia;sokhumi_bay;9542;5832;x
pitsunda;pitsunda_cape;9520;5848;x
bedia;sokhumi_bay;9575;5810;x
anaklia;sokhumi_bay;9581;5789;x
batumi;batumi_bay;9588;5743;x
ozurgeti;batumi_bay;9592;5757;x
poti_caucasus;batumi_bay;9586;5774;x
tarki;caspian_sea12;9853;5832;x
boynak;caspian_sea12;9868;5803;x
terek;caspian_sea13;9854;5848;x
baku;caspian_sea8;9985;5662;x
mahmudabad;caspian_sea7;9936;5605;x
maraza;caspian_sea7;9947;5650;x
qobustan;caspian_sea7;9942;5633;x
baciravan;caspian_sea6;9920;5583;x
salyan;caspian_sea6;9925;5588;x
shirvan;caspian_sea9;9947;5681;x
derbent;caspian_sea11;9893;5762;x
niyazabad;caspian_sea10;9922;5734;x
shabran;caspian_sea10;9924;5725;x
theodoro;cape_fiolent;9221;5921;x
qirq_yer;kalamita_bay;9219;5946;x
lusta;cape_sarych;9248;5921;x
kaffa;kaffa_bay;9312;5962;x
soldaia;cape_meganom;9284;5943;x
vosporo;bay_arabat;9331;5980;x
kezlev;kalamita_bay;9211;5966;x
aqmecit;cape_tarkhankut;9173;5975;x
or_qapi;karkinit_bay;9221;6019;x
taman;strait_kerch;9370;5972;x
mapa;tsemess_bay;9390;5945;x
susaco;tsemess_bay;9412;5935;x
copa;temryuk_bay;9402;5984;x
tuapse;gelendzhik_bay;9457;5906;x
costa;circassian_coast;9485;5880;x
akhtar;yasensk_bay;9428;6023;x
khadjibey;dniester_estuary;9087;6037;x
teligol;dnieper_bug_estuary;9103;6057;x
dashev;dnieper_bug_estuary;9131;6060;x
balikley;dnieper_bug_estuary;9102;6086;x
vithold_hammami;dnieper_bug_estuary;9147;6075;x
oleshia;dnieper_bug_estuary;9159;6057;x
qalancaq;karkinit_bay;9220;6029;x
ordu_bazar;karadzhynska_bay;9163;6026;x
enice;genichskaya_channel;9282;6035;x
melitopol;obitochny_gulf;9317;6056;x
kyrylivka;genichskaya_channel;9301;6042;x
berdiansk;obitochny_gulf;9351;6067;x
taganrog;taganrog_gulf;9463;6097;x
domakha;belosaraysk_gulf;9402;6090;x
shyrokyne;belosaraysk_gulf;9424;6091;x
azok;taganrog_gulf;9478;6087;x
shcherbinovka;taganrog_gulf;9447;6063;x
balzimachi;belosaraysk_gulf;9422;6062;x
kanevskaya;yasensk_bay;9443;6028;x
tana;taganrog_gulf;9476;6101;x
astrakhan;caspian_sea15;9878;5985;x
krasny_yar;caspian_sea16;9921;6014;x
ganyushkino;caspian_sea17;9955;6039;x
ikryanoye;caspian_sea15;9862;5988;x
dardeling;caspian_sea15;9853;5973;x
kara_bazaar;caspian_sea14;9827;5929;x
ryn;caspian_sea18;9997;6080;x
sarayjuk;caspian_sea19;10037;6079;x
martyshkino;east_gulf_of_finland;9042;6978;x
neva;east_gulf_of_finland;9066;6977;x
koporye;east_gulf_of_finland;9013;6971;x
ivangorod;east_gulf_of_finland;8969;6950;x
soikino;east_gulf_of_finland;8985;6959;x
village_onega;inner_onega_bay;9423;7284;x
luda;inner_onega_bay;9407;7311;x
nyonoksa;inner_onega_bay;9415;7305;x
solovetsky;inner_onega_bay;9313;7359;x
maloshuyka;inner_onega_bay;9402;7267;x
sumsky_posad;inner_onega_bay;9309;7307;x
unezhma;inner_onega_bay;9360;7275;x
arkhangelsk;intsi_cape;9531;7340;x
kuloy;barents_sea10;9695;7445;x
verkhnyaya_zolotitsa;intsi_cape;9534;7422;x
koyda;barents_sea10;9635;7468;x
okladnikova_sloboda;barents_sea10;9701;7443;x
nes;barents_sea10;9712;7486;x
trieste;gulf_venice;8312;6004;x
pola;cape_kamenjak;8318;5951;x
pazin;kvarner_gulf;8338;5959;x
rovinj;gulf_venice;8308;5977;x
senj;kvarner_gulf;8368;5947;x
crikvenica;kvarner_gulf;8355;5972;x
kaseg;zadar_strait;8379;5922;x
krk;kvarner_gulf;8356;5954;x
pag;zadar_strait;8371;5920;x
rijeka;kvarner_gulf;8344;5977;x
novigrad;zadar_strait;8403;5900;x
sibenik;gulf_kastela;8415;5870;x
zadar;murter_strait;8384;5897;x
dubrovnik;bay_kotor;8517;5803;x
brac;gulf_kastela;8440;5846;x
makarska;korcula_strait;8464;5848;x
metkovic;korcula_strait;8480;5834;x
slano;korcula_strait;8459;5825;x
split;gulf_kastela;8437;5861;x
bar_cg;bay_kotor;8562;5766;x
kotor;bay_kotor;8542;5790;x
babadag;south_danube_delta;9002;5936;x
constanta;south_danube_delta;8998;5901;x
enisala;south_danube_delta;9027;5942;x
tulcea;north_danube_delta;9042;5966;x
varna;gulf_varna;8962;5828;x
karvuna;kaliakra_point;8973;5852;x
kaliakra;kaliakra_point;8983;5852;x
pangalia;kaliakra_point;8995;5882;x
hatera;thermaic_gulf;8721;5665;x
thessaloniki;thermaic_gulf;8736;5672;x
kassandreia;gulf_kassandreia;8761;5642;x
mount_athos;singitic_gulf;8788;5656;x
polygyros;strymonian_gulf;8777;5668;x
kavala;strymonian_gulf;8801;5694;x
rentina;strymonian_gulf;8773;5685;x
thasos;thracian_sea;8820;5683;x
burgas;gulf_varna;8944;5797;x
anhialo;gulf_varna;8955;5807;x
rusokastro;gulf_varna;8938;5789;x
sozopol;gulf_varna;8944;5793;x
constantinople;gulf_izmit;9001;5699;x
catalca;bosphorus;8990;5727;x
silivri;gulf_izmit;8982;5704;x
corlu;dardanelles;8955;5701;x
gallipoli;dardanelles;8908;5665;x
enez;gulf_saros;8879;5675;x
rodoscuk;dardanelles;8937;5685;x
kesan;gulf_saros;8903;5677;x
ahtopol;stomoplo_bay;8967;5755;x
kiyikoy;stomoplo_bay;8971;5742;x
traianopolis;gulf_saros;8873;5689;x
komotini;thracian_sea;8844;5697;x
xanthia;thracian_sea;8828;5696;x
durres;drin_bay;8580;5717;x
ballsh;drin_bay;8572;5686;x
kavaje;drin_bay;8580;5697;x
kruje;drin_bay;8581;5739;x
shkoder;drin_bay;8577;5754;x
lezha;drin_bay;8583;5749;x
avlonya;strait_otranto;8578;5665;x
argyrokastro;coast_corfu;8596;5638;x
butrint;coast_corfu;8605;5618;x
angelokastron;gulf_patras;8662;5545;x
nafpaktos;gulf_patras;8675;5535;x
salona;gulf_corinth;8712;5541;x
vonitsa;ambracian_gulf;8650;5570;x
athens;saronic_gulf;8774;5498;x
atalanti;euboic_sea;8743;5555;x
livadeia;gulf_corinth;8724;5536;x
megara;saronic_gulf;8751;5513;x
thebes;petalion_gulf;8778;5535;x
corfu;coast_corfu;8595;5618;x
cephalonia;coast_cephalonia;8622;5530;x
leukas;ambracian_gulf;8627;5559;x
zakynthos;gulf_patras;8637;5506;x
bodonitsa;euboic_sea;8721;5567;x
zetounion;euboic_sea;8721;5570;x
arta;ambracian_gulf;8652;5579;x
parga;ambracian_gulf;8618;5593;x
preveza;ambracian_gulf;8627;5584;x
demetrias;euboic_sea;8732;5592;x
stomio;gulf_kassandreia;8735;5617;x
patras;gulf_patras;8680;5531;x
chalandritsa;gulf_patras;8673;5524;x
vostitsa;gulf_corinth;8699;5532;x
argos;argolic_gulf;8726;5488;x
astros;argolic_gulf;8735;5463;x
ermioni;argolic_gulf;8742;5479;x
nafplio;argolic_gulf;8735;5485;x
corinth;gulf_corinth;8730;5514;x
damala;saronic_gulf;8746;5499;x
xylokastro;gulf_corinth;8712;5524;x
andravida;gulf_patras;8660;5516;x
andritsaina;kyparissia_gulf;8675;5483;x
pontikokastro;kyparissia_gulf;8664;5492;x
mystras;lakonikos_gulf;8723;5440;x
kythira;lakonikos_gulf;8733;5408;x
monemvasia;myrtoan_sea;8742;5435;x
oitylo;lakonikos_gulf;8712;5419;x
kalamata;messinia_gulf;8694;5453;x
kyparissia;kyparissia_gulf;8676;5469;x
leuktron;messinia_gulf;8703;5445;x
modon;messinia_gulf;8691;5446;x
chios;gulf_smyrna;8887;5543;x
ikaria;cape_mesta;8877;5492;x
samos;icarian_sea;8908;5496;x
candia;gulf_mirambelos;8840;5352;x
chania;chania_bay;8778;5365;x
elounda;coast_crete;8859;5332;x
gergeri;messara_bay;8823;5327;x
hagios_pavlos;krios_cape;8788;5343;x
rethymno;chania_bay;8805;5356;x
siteia;sideros_cape;8890;5340;x
viannos;messara_bay;8839;5328;x
negroponte;euboic_sea;8766;5547;x
eretreia;euboic_sea;8761;5552;x
karystos;west_cyclades;8804;5515;x
kleisoura;gulf_kymi;8764;5566;x
kymi;cape_caphereus;8794;5542;x
oreos;euboic_sea;8744;5566;x
mitilene;edremit_gulf;8896;5583;x
molyvos;edremit_gulf;8881;5597;x
imbros;gulf_saros;8869;5653;x
lemnos;thracian_sea;8843;5636;x
sporades;sporades_sea;8810;5573;x
naxos;east_cyclades;8841;5454;x
amorgos;south_cyclades;8870;5439;x
andros;cape_mesta;8828;5506;x
kythnos;west_cyclades;8822;5482;x
milos;south_cyclades;8844;5433;x
mykonos;east_cyclades;8836;5486;x
rodos;prasonisi_cape;8967;5396;x
karpathos;karpathian_sea;8924;5367;x
kos;ceramic_gulf;8929;5441;x
ushkan;caspian_sea20;10114;6054;x
tenteksor;caspian_sea20;10099;6081;x
koshkar_ata;caspian_sea28;10067;5818;x
temir_baba;caspian_sea30;10094;5746;x
ketik_kala;caspian_sea24;9980;5929;x
kabakty;caspian_sea23;10024;5969;x
adana;gulf_alexandretta;9303;5426;x
ayas;gulf_alexandretta;9321;5439;x
iskenderun;gulf_alexandretta;9338;5439;x
famagusta;famagusta_bay;9237;5340;x
kyrenia;cape_apostolos_andreas;9256;5363;x
larnaca;famagusta_bay;9222;5325;x
limassol;akrotiri_bay;9195;5312;x
morphou;cape_arnauti;9175;5344;x
paphos;episkopi_bay;9169;5315;x
silifke;cape_tisan;9234;5409;x
anamur;morphou_bay;9191;5397;x
tarsus;gulf_mersin;9268;5439;x
corycus;gulf_mersin;9251;5426;x
biga;dardanelles;8936;5663;x
ayvacik;cape_lecton;8882;5617;x
bandirma;gulf_izmit;8966;5661;x
canakkale;dardanelles;8893;5647;x
gonen;dardanelles;8949;5660;x
lapseki;dardanelles;8920;5664;x
bursa;gulf_izmit;9006;5663;x
iznik;gulf_izmit;9017;5680;x
bergama;edremit_gulf;8914;5581;x
edremit;edremit_gulf;8917;5611;x
izmit;gulf_izmit;9054;5684;x
atpazari;cape_pazarbasi;9085;5710;x
uskudar;gulf_izmit;9015;5697;x
silli;bosphorus;9041;5712;x
akcasehir;cape_baba;9106;5707;x
eregli;cape_baba;9136;5730;x
giresun;east_pontic_coast;9438;5696;x
bayramlu;cape_yasurt;9428;5699;x
terme;cape_yasurt;9377;5714;x
unye;cape_yasurt;9389;5709;x
inebolu;cape_kerempe;9226;5763;x
kure_i_mamure;cape_kerempe;9206;5765;x
amasra;west_pontic_coast;9172;5752;x
bartin;west_pontic_coast;9157;5743;x
sinop;central_pontic_coast;9272;5762;x
bafra;balik_gulf;9337;5733;x
gerze;cape_sinop;9295;5750;x
samsun;balik_gulf;9346;5719;x
trebizond;cape_fener;9497;5702;x
gorele;east_pontic_coast;9466;5703;x
khupati;batumi_bay;9578;5729;x
rize;cape_fener;9536;5704;x
surmene;cape_fener;9519;5696;x
alaiye;east_gulf_adalia;9148;5424;x
karahisar_i_teke;west_gulf_adalia;9099;5443;x
manavgat;west_gulf_adalia;9120;5439;x
selinti;east_gulf_adalia;9160;5409;x
antalya;west_gulf_adalia;9088;5445;x
finike;gulf_finike;9065;5408;x
kas;teke_peninsula;9039;5403;x
balat;gulf_kusadasi;8932;5500;x
milas;icarian_sea;8934;5474;x
bodrum;ceramic_gulf;8939;5454;x
gokabat;ceramic_gulf;8979;5455;x
marmaris;gulf_fethiye;8978;5442;x
megri;gulf_fethiye;9016;5432;x
yuksekkum;gulf_fethiye;8994;5439;x
foca;gulf_smyrna;8907;5556;x
smyrna;gulf_smyrna;8926;5542;x
ayasuluk;gulf_kusadasi;8932;5508;x
cesme;gulf_smyrna;8890;5536;x
menemen;gulf_smyrna;8912;5551;x
urla;gulf_smyrna;8911;5538;x
abadan;kuwait_bay;9909;5034;x
zuwayr;kuwait_bay;9893;5015;x
antioch;cape_ad_dariah;9328;5394;x
arsuz;gulf_alexandretta;9330;5423;x
acre;bay_haifa;9287;5209;x
gaza;coastal_plain;9260;5126;x
jaffa;coastal_plain;9275;5166;x
majdal;coastal_plain;9264;5134;x
latakia;cape_ad_dariah;9322;5377;x
baniyas;cape_ad_dariah;9327;5343;x
jableh;cape_ad_dariah;9326;5353;x
tartus;coast_lebanon;9324;5326;x
beirut;bay_beirut;9308;5266;x
deir_qamar;bay_beirut;9303;5255;x
sidon;bay_beirut;9299;5241;x
tripoli_syria;coast_lebanon;9323;5300;x
aqaba;gulf_aqaba;9281;5004;x
al_jubayl;alaly_cape;9952;4861;x
al_qatif;tarout_bay;9967;4839;x
al_uqayr;gulf_bahrein;9976;4783;x
manama;tarout_bay;9996;4811;x
sayhat;tarout_bay;9972;4828;x
ash_shuaybah;zawr_cape;9885;4974;x
kazimah;kuwait_bay;9863;4997;x
qurain;kuwait_bay;9875;4998;x
jannah;mishab_cape;9918;4897;x
al_bidda;matbakh_cape;10038;4761;x
al_huwaila;matbakh_cape;10035;4798;x
al_mashqar;gulf_bahrein;10004;4729;x
al_udayd;abu_gamys_cape;10033;4715;x
eglat_faisal;gulf_bahrein;10005;4737;x
sir_bani_yas;abu_gamys_cape;10084;4704;x
zubarah;tarout_bay;10018;4806;x
duba;north_tihamah_coast;9317;4877;x
al_azlam;north_tihamah_coast;9326;4858;x
al_wajh;north_hijaz_coast;9344;4824;x
khulays;central_tihamah_coast;9466;4580;x
al_juhfah;central_tihamah_coast;9463;4615;x
asfan;ghurab_island;9467;4559;x
qudayd;central_tihamah_coast;9469;4599;x
aynuna;cape_muhammad;9292;4919;x
al_muwaylih;north_tihamah_coast;9305;4896;x
haql;gulf_aqaba;9279;4990;x
makna;gulf_aqaba;9274;4945;x
al_lith;abulat_island;9525;4463;x
jeddah;al_shuaiba_coast;9485;4504;x
umluj;shibara_archipelago;9386;4746;x
al_hawra;shibara_archipelago;9376;4769;x
yanbu;south_hijaz_coast;9425;4687;x
al_jar;south_hijaz_coast;9448;4657;x
ash_shibahah;yanbu_harbour;9395;4712;x
suhar;tehama_coast;10275;4707;x
al_khaburah;tehama_coast;10297;4681;x
khor_fakkan;strait_oman;10254;4780;x
nakhal;fujairah_coast;10327;4669;x
rustaq;tehama_coast;10314;4673;x
saham;tehama_coast;10285;4692;x
shinas;hamra_cape;10261;4733;x
julfar;shaykh_masud_cape;10236;4788;x
abu_dhabi;southern_trucial_coast;10165;4715;x
al_dhaid;northern_trucial_coast;10222;4778;x
dubai;northern_trucial_coast;10200;4748;x
marawah;abu_abyad_island;10117;4704;x
sharjah;northern_trucial_coast;10212;4764;x
masqat;abu_dawood_cape;10368;4652;x
as_sib;fujairah_coast;10343;4665;x
jalan_buani_buali;ar_ruays_cape;10387;4535;x
masirah;gulf_masirah;10341;4489;x
qalhat;hadd_cape;10391;4616;x
sur;qumaylah_cape;10411;4579;x
hali;south_tihamah_coast;9566;4389;x
al_qunfudhah;south_tihamah_coast;9562;4406;x
al_shuqayq;asir_coast;9598;4331;x
al_sirrayn;abulat_island;9545;4443;x
al_hirda;kamaran_islands;9639;4232;x
harad_asir;farasan_islands;9637;4255;x
jazan;farasan_islands;9627;4283;x
al_khosuf;farasan_islands;9634;4269;x
farasan;farasan_islands;9604;4277;x
sabya;farasan_islands;9621;4293;x
adan;marshaq_cape;9738;4052;x
al_arah;bab_el_mandeb;9695;4041;x
al_mafalis;marshaq_cape;9718;4051;x
zinjibar;saylan_cape;9761;4070;x
birali;al_ushaydah_cape;9892;4120;x
al_mukalla;al_kalb_cape;9926;4147;x
al_shihr;sharmah_cape;9951;4161;x
balhaf;al_ushaydah_cape;9882;4120;x
ahwar;abyan_coast;9822;4088;x
shuqra;saylan_cape;9778;4084;x
khayrij;mahrah_coast;10010;4181;x
hudaida;yemenite_coast;9645;4163;x
al_luhayyah;kamaran_islands;9634;4218;x
as_salif;kamaran_islands;9635;4195;x
dhufar;mirbat_bay;10156;4287;x
hadibu;shuub_cape;10163;4033;x
qulensya;abdalkuri_coast;10120;4041;x
khalfut;fartak_cape;10068;4223;x
mirbat;mirbat_cape;10195;4287;x
qishn;qishn_bay;10045;4197;x
raysut;dharbat_ali_cape;10124;4273;x
al_mandab;bab_el_mandeb;9669;4049;x
al_mukha;zuqar_island;9659;4084;x
hays;zuqar_island;9658;4109;x
zabid;zuqar_island;9650;4129;x
al_ghulayfiqah;yemenite_coast;9647;4148;x
hinglaj;sonmiani_bay;10672;4764;x
ormara;ormara_coast;10632;4756;x
sonamiani;sonmiani_bay;10720;4765;x
gwadar;indian_coast2;10530;4752;x
pasni;indian_coast3;10582;4755;x
gwatar;jiwani_bay;10491;4752;x
al_tiz;chabahar_bay;10449;4763;x
bandar_e_jask;cape_jask;10321;4780;x
jagin_zir;cape_kalat;10358;4776;x
zarabad;cape_kalat;10396;4769;x
hendijan;iranian_bay;9943;5041;x
bandar_deyr;nayband_gulf;10056;4906;x
khormoj;khann_cape;10021;4936;x
gamrun;strait_hormuz;10253;4868;x
bandar_charak;kish_island;10160;4841;x
bandar_khamir;tangeh_khoran_strait;10223;4853;x
bandar_lengeh;tangeh_khoran_strait;10190;4832;x
hormuz;strait_hormuz;10263;4865;x
reyshahr;bushehr_bay;10005;4974;x
bandar_deylam;iranian_bay;9974;5035;x
bandar_rig;khark_island;9995;5002;x
jannaba;khark_island;9989;5010;x
siraf;nayband_gulf;10070;4898;x
kish;lavan_island;10125;4854;x
minab;strait_hormuz;10280;4861;x
senderk;strait_hormuz;10287;4847;x
sirik;strait_hormuz;10289;4830;x
machul;iranian_bay;9931;5055;x
quban;iranian_bay;9918;5056;x
rasht;caspian_sea4;9957;5482;x
lahijan;caspian_sea4;9972;5483;x
langarud;caspian_sea4;9982;5465;x
astarabad;caspian_sea1;10151;5446;x
etrek;caspian_sea34;10140;5497;x
mubarakabad;caspian_sea1;10149;5461;x
tammisha;caspian_sea1;10147;5441;x
amol;caspian_sea2;10074;5433;x
al_mamtir;caspian_sea2;10092;5438;x
chalus;caspian_sea3;10027;5436;x
kojur;caspian_sea3;10050;5429;x
tonekabon;caspian_sea3;10003;5447;x
sari;caspian_sea2;10101;5440;x
ashraf;caspian_sea1;10118;5445;x
dulab;caspian_sea5;9922;5500;x
astara;caspian_sea5;9917;5532;x
bandar_e_anzali;caspian_sea5;9936;5487;x
lankaran;caspian_sea6;9916;5564;x
ningde;sansha_bay;13133;4838;x
fuan;sansha_bay;13141;4845;x
changshi;shacheng_harbour;13171;4868;x
lianjiang;sansha_bay;13138;4815;x
luoyuan;sansha_bay;13135;4827;x
changle_fujian;sansha_bay;13138;4802;x
jinjiang;xinghua_bay;13091;4733;x
tongan;xiamen_harbour;13070;4722;x
huian;xinghua_bay;13102;4745;x
nanan_quanzhou;xiamen_harbour;13081;4722;x
putian;xinghua_bay;13114;4767;x
fuqing;sansha_bay;13129;4780;x
xianyou;xinghua_bay;13103;4756;x
longxi;xiamen_harbour;13058;4708;x
zhaoan;dongshan_bay;13039;4671;x
zhangpu;xiamen_harbour;13049;4685;x
jiangyin;yantze_estuary;13169;5151;x
huating;hangzhou_bay;13215;5075;x
nanhui;nanhui_cape;13239;5092;x
changshu;yantze_estuary;13190;5141;x
chongming;yantze_estuary;13220;5125;x
jiading;yantze_estuary;13221;5118;x
kunshan;yantze_estuary;13209;5130;x
xinghua;changsha_island;13176;5219;x
qushan;haizhou_bay;13129;5313;x
banpu;jiangsu_coast;13131;5288;x
ganyu;haizhou_bay;13118;5321;x
andong_huaian;jiangsu_coast;13135;5271;x
yancheng;changsha_island;13165;5241;x
funing_huaian;jiangsu_coast;13149;5262;x
hailing;changsha_island;13191;5190;x
xixi;changsha_island;13176;5203;x
rugao;yantze_estuary;13176;5155;x
jinghai_tongzhou;yantze_estuary;13192;5148;x
juegang;wunansha_island;13208;5181;x
haimen;yantze_estuary;13217;5148;x
amis;tulan_bay;13216;4630;x
paiwan;lan_island;13196;4587;x
truku;chilai_cape;13228;4690;x
basai;santiao_cape;13236;4751;x
kavalan;yonaguni_strait;13237;4728;x
kulun;tamsui_estuary;13213;4751;x
pakuali;yonaguni_strait;13237;4709;x
siraya;pescadores_strait;13158;4627;x
lloa;zhuoshui_estuary;13160;4668;x
makatao;tapeng_bay;13166;4602;x
papora;zhuoshui_estuary;13176;4703;x
babuza;zhuoshui_estuary;13170;4689;x
taokas;tamsui_estuary;13190;4724;x
hangzhou;qiantang_estuary;13164;5050;x
haining;qiantang_estuary;13179;5057;x
haiyan;qiantang_estuary;13198;5065;x
dinghai;hangzhou_bay;13231;5033;x
cixi;hangzhou_bay;13216;5052;x
xiangshan;sanmen_bay;13242;5003;x
fenghua;sanmen_bay;13221;5007;x
yinxian;sanmen_bay;13236;5014;x
changguo;zhousan_archipelago2;13264;5031;x
shaoxing;qiantang_estuary;13182;5044;x
shangyu;qiantang_estuary;13187;5042;x
xiaoshan;qiantang_estuary;13170;5049;x
yuyao;qiantang_estuary;13197;5047;x
linhai;yueqing_bay;13226;4958;x
xianzhu;sanmen_bay;13220;4983;x
huangyan;yueqing_bay;13222;4955;x
ninghai;sanmen_bay;13220;5001;x
wenling;yueqing_bay;13224;4934;x
yongjia;yueqing_bay;13193;4912;x
pingyang;shacheng_harbour;13180;4891;x
yueqing;yueqing_bay;13199;4922;x
ruian;shacheng_harbour;13186;4900;x
shuangxi;yueqing_bay;13187;4916;x
kunashiri;mekkari_cape;14355;5913;x
etorofu;sango_cape;14389;5938;x
furubetsu;seoroshi_cape;14413;5953;x
shana;sango_cape;14412;5962;x
shibetoro;chirippu_cape;14448;5980;x
uruppu;nobitsu_cape;14500;5992;x
shimushiru;aron_cape;14602;6077;x
onnekotan;kinpei_cape;14730;6245;x
paramushiru;kapari_cape;14778;6294;x
shumushu;kambalny_bay;14804;6337;x
saru;shinodai_cape;14155;5792;x
niikappu;shinodai_cape;14167;5787;x
shizunai;shinodai_cape;14178;5778;x
urakawa;shinodai_cape;14187;5773;x
samani;erimo_cape;14199;5766;x
abuta;uchiura_bay;14093;5799;x
shiraoi;uchiura_bay;14127;5797;x
yuufutsu;uchiura_bay;14140;5803;x
ishikari;ishikari_bay;14124;5845;x
atsuta;ishikari_bay;14123;5859;x
shari;notoro_cape;14278;5888;x
abashiri;notoro_cape;14259;5893;x
tokoro;notoro_cape;14241;5900;x
monbetsu;chikapunotsu_cape;14218;5915;x
esashi_hokkaido;aniva_gulf;14172;5965;x
souya;rishiri_channel;14145;5982;x
rishiri;rishiri_channel;14113;5968;x
shiranuka;shirepa_cape;14245;5819;x
kushiro;shirepa_cape;14261;5825;x
akkeshi;ochiishi_cape;14299;5835;x
nemuro;nemuro_bay;14316;5848;x
notsuke;nemuro_bay;14305;5854;x
shibetsu;nemuro_bay;14297;5872;x
hanasaki;east_shikotan;14371;5874;x
hiyama_hokkaido;obana_cape;14068;5754;x
fukushima;tonoma_cape;14062;5733;x
kamiiso;tsugaru_strait;14091;5746;x
kameda;tsugaru_strait;14095;5750;x
kayabe;uchiura_bay;14092;5773;x
